SchoolId;SchoolName;SchoolAddress;SchoolZipCode;SchoolCity;SchoolRefNumber;SchoolPhone
309;Ecole primaire;6 BIS RUE DE LA MAIRIE;28410;ST-LUBIN-DE-LA-HAYE;;0237820561
310;Ecole maternelle - Clos du Village;4 IMPASSE SOUS LES COTES;28350;ST-LUBIN-DES-JONCHERETS;;0232582204
311;Ecole maternelle - La Garenne;9 RUE DE BAUDELAIRE;28350;ST-LUBIN-DES-JONCHERETS;;0232582507
312;Ecole élémentaire - N°1 Le Parc;RUE DU CLOS D’AMOUR;28350;ST-LUBIN-DES-JONCHERETS;;0232582562
313;Ecole élémentaire - N°2 Le Bourg;4 RUE DES ECOLES;28350;ST-LUBIN-DES-JONCHERETS;;0232582389
314;Ecole primaire - Jules Verne;11 RUE DE LA MAIRIE;28190;ST-LUPERCE;;0237267622
315;Ecole primaire;14 RUE JEAN MOULIN;28130;ST-MARTIN-DE-NIGELLES;;0237825674
316;Ecole primaire;RUE DE LA MAIRIE;28240;ST-MAURICE-ST-GERMAIN;;0237370648
317;Ecole élémentaire;4 PLACE DE LA MAIRIE;28290;ST-PELLERIN;;0237988095
318;Ecole primaire;PLACE RENE QUANTIN;28130;ST-PIAT;;0237324525
319;Ecole maternelle - Calypso;PLACE CH MOULIN;28300;ST-PREST;;0237223144
320;Ecole élémentaire - Jacques-Yves Cousteau;RUELLE GARREAU;28300;ST-PREST;;0237222551
321;Ecole élémentaire - La Vallée;4 RUE DE VERDUN;28380;ST-REMY-SUR-AVRE;;0237489212
322;Ecole maternelle - N°1 La Vallée;1 RUE L’ANCIENNE;28380;ST-REMY-SUR-AVRE;;0237489130
323;Ecole primaire - numéro III;BOIS D’HAUTERRE;28380;ST-REMY-SUR-AVRE;;0237489539
324;Ecole élémentaire;15 RUE GUY DE LA VASSELAIS;28700;ST-SYMPHORIEN-LE-CHÂTEAU;;0237311849
325;Ecole maternelle;CHEMIN DES CHAUDONNES;28700;ST-SYMPHORIEN-LE-CHÂTEAU;;0237314005
326;Ecole primaire;9 RUE DE LA LIBERTE;28240;ST-VICTOR-DE-BUTHON;;0237813589
327;Ecole élémentaire;2 RUE DES ECOLES;28140;TERMINIERS;;0237321582
328;Ecole maternelle;9 RUE CHANZY;28140;TERMINIERS;;0237321054
329;Ecole primaire;10 RUE DE LA GARE;28360;THEUVILLE;;0237252932
330;Ecole primaire;RUE DE LA CROIX BLANCHE;28170;THIMERT-GATELLES;;0237510351
331;Ecole élémentaire;2 AVENUE DE LA GARE;28480;THIRON-GARDAIS;;0237494337
332;Ecole maternelle;RUE DE LA GARE;28480;THIRON-GARDAIS;;0237495391
333;Ecole élémentaire - Germaine Ferrand;RUE HECTOR BOUDON;28630;THIVARS;;0237264640
334;Ecole maternelle - Germaine Ferrand;4 PLACE DE LA MAIRIE;28630;THIVARS;;0237264889
335;Ecole élémentaire;2 RUE DE CHATEAUDUN;28200;THIVILLE;;0237441421
336;Ecole élémentaire - Julien Mercier;3 RUE JEAN MONNET;28310;TOURY;;0237905303
337;Ecole maternelle - Les petits poissons;RUE DE BOISSAY;28310;TOURY;;0237905244
